"","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","date","group","subject","likert_1","likert_2"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"23.06.2022",1,1,1,4
"2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"23.06.2022",2,2,3,3
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"23.06.2022",2,3,2,1
"4",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"23.06.2022",1,4,5,5
"5",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"23.06.2022",1,5,3,3
"6",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"23.06.2022",2,6,2,1
"7",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"23.06.2022",1,7,2,1
"8",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"23.06.2022",1,8,1,3
"9",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"23.06.2022",1,9,2,5
"10",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"23.06.2022",2,10,5,2
"11",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"23.06.2022",1,11,1,NA
"12",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"23.06.2022",2,12,3,NA
"13",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"23.06.2022",2,13,2,NA
"14",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"23.06.2022",1,14,5,NA
"15",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,"23.06.2022",1,15,3,NA
"16",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"23.06.2022",2,16,2,NA
"17",17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,"23.06.2022",1,17,2,NA
"18",18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"23.06.2022",1,18,1,NA
"19",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"23.06.2022",1,19,2,NA
"20",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,"23.06.2022",2,20,5,NA
